ID_Galaxia,cig,ANG_SIZE_MAJ_log,ANG_SIZE_MAJ_original
216,216,0.73,5.370317963702527
217,217,1.4,25.118864315095795
218,218,0.87,7.413102413009175
219,219,0.45,2.8183829312644537
220,220,0.94,8.709635899560805
221,221,0.57,3.715352290971725
222,222,0.95,8.912509381337454
223,223,0.56,3.630780547701014
224,224,2.47,295.1209226666387
225,225,0.71,5.1286138399136485
226,226,0.53,3.3884415613920256
227,227,1.47,29.512092266663856
228,228,0.63,4.265795188015927
229,229,0.55,3.548133892335755
230,230,0.76,5.7543993733715695
231,231,0.85,7.079457843841379
232,232,1.66,45.708818961487495
233,233,0.55,3.548133892335755
234,234,1.41,25.703957827688633
235,235,2.06,114.81536214968828
236,236,0.96,9.120108393559097
237,237,2.92,831.7637711026708
238,238,1.03,10.715193052376065
239,239,7.93,85113803.82023759
240,240,1.43,26.915348039269155
241,241,0.58,3.8018939632056115
242,242,0.51,3.2359365692962827
243,243,0.79,6.165950018614822
244,244,1.17,14.791083881682072
245,245,0.42,2.6302679918953817
246,246,1.15,14.12537544622754
247,247,0.8,6.309573444801933
248,248,0.46,2.884031503126606
249,249,0.42,2.6302679918953817
250,250,1.59,38.90451449942807
251,251,0.93,8.511380382023766
252,252,0.83,6.760829753919817
253,253,0.68,4.786300923226384
254,254,0.39,2.4547089156850306
255,255,1.21,16.218100973589298
256,256,0.89,7.762471166286917
257,257,0.55,3.548133892335755
258,258,0.64,4.36515832240166
259,259,0.83,6.760829753919817
260,260,1.02,10.471285480508996
261,261,0.42,2.6302679918953817
262,262,0.54,3.4673685045253166
263,263,0.51,3.2359365692962827
264,264,0.65,4.466835921509632
265,265,0.89,7.762471166286917
266,266,1.02,10.471285480508996
267,267,0.99,9.772372209558107
268,268,1.11,12.882495516931343
269,269,0.71,5.1286138399136485
270,270,0.96,9.120108393559097
271,271,1.1,12.589254117941675
272,272,0.47,2.9512092266663856
273,273,0.51,3.2359365692962827
274,274,0.45,2.8183829312644537
275,275,1.1,12.589254117941675
276,276,0.72,5.248074602497725
277,277,0.96,9.120108393559097
278,278,1.09,12.302687708123818
279,279,1.64,43.65158322401658
280,280,1.16,14.454397707459272
281,281,1.47,29.512092266663856
282,282,0.53,3.3884415613920256
283,283,1.55,35.48133892335755
284,284,0.36,2.290867652767773
285,285,4.45,28183.82931264455
286,286,0.53,3.3884415613920256
287,287,0.9,7.943282347242816
288,288,0.51,3.2359365692962827
289,289,0.56,3.630780547701014
290,290,1.42,26.302679918953814
291,291,1.29,19.498445997580454
292,292,2.93,851.1380382023768
293,293,1.44,27.542287033381662
294,294,0.94,8.709635899560805
295,295,0.95,8.912509381337454
296,296,1.61,40.73802778041128
297,297,0.63,4.265795188015927
298,298,1.57,37.15352290971726
299,299,1.69,48.97788193684461
300,300,0.98,9.549925860214358
301,301,0.49,3.0902954325135905
302,302,0.75,5.623413251903491
303,303,2.74,549.5408738576248
304,304,0.78,6.025595860743578
305,305,0.78,6.025595860743578
