181,283,24567, I(s)m sp (cc)                                                                                        , Sm sp + inner PD?                                                                                    ,I,S
182,284,24617, SA(s)m / Sph:                                                                                        , SA(rs)b:                                                                                             ,SA,SA
183,286,24780," (R':)SA(rs,ls)b                                                                            "," SA(rs,l)b                                                                                            ",SA,SA
184,287,24839, (R')SA_B(rs)b                                                             , S_AB(rs)ab                                                                          ,SAB,SAB
185,288,24914, SA(s)c                                                                                               , SA(s)c                                                                                               ,SA,SA
186,289,24969, SA(s)c                                                                                               , SA(s)bc                                                                                              ,SA,SA
187,290,25012, SAB(s)d                                                                                              , SA_B(s)d                                                                            ,SAB,SAB
188,291,25128, SA(s)cd                                                                                              , SA(s)cd pec                                                                                          ,SA,SA
189,292,25248," (R_1')SB(rs,nl)b                                                                           ", (R_1')SB(rs)b                                                                              ,SB,SB
190,293,25292, Im sp + Im sp?                                                                                       , Pec (merger with long tidal tails?)                                                                  ,I,OTHER
191,294,25341, Sd sp                                                                                                , Sd sp                                                                                                ,S,S
192,295,25344, SAc: sp                                                                                              , SA(rs)c sp                                                                                           ,SA,SA
193,296,25423, SA(s)c                                                                                               , SA(s)c                                                                                               ,SA,SA
194,298,25533," (R'L)SB(rs,bl)b                                                                            ", SB(rs)ab                                                                                             ,SB,SB
195,299,25562, SAB(s)m sp                                                                                           , SB(s)m sp                                                                                            ,SAB,SB
196,301,25560, SAB(s)a:                                                                                             , SA(s)a:                                                                                              ,SAB,SA
197,302,25638, (R_2')S_AB(s)cd                                                           , SAB(r_s)c pec                                                                       ,SAB,SAB
198,303,25646," SA(rl)0^o sp / E(d,b)6                                                                             ", SA(r)0^+ / E(d)5                                                                                   ,SA,SA
199,304,25731, SA(rs)bc                                                                                             , SA(r_s)bc                                                                           ,SA,SA
200,305,25724, E0                                                                                                   , E1                                                                                                   ,E,E
201,306,25754, SA(s)dm:                                                                                             , SA(s)cd                                                                                              ,SA,SA
202,307,25770, SAB(rs)ab                                                                                            , SAB(rs)b                                                                                             ,SAB,SAB
203,308,25802, SA(s)ab                                                                                              , SA(s)ab                                                                                              ,SA,SA
204,310,25884, Sa sp                                                                                                , Sa sp                                                                                                ,S,S
205,311,25888, (R')SAB(s)a:                                                                               , SAB(s)a:                                                                                             ,SAB,SAB
206,312,25892, SB:(s)c sp                                                                                           , SB(s:)cd                                                                                             ,SB,SB
207,313,25920, SA(s)bc                                                                                              , SA(s)bc                                                                                              ,SA,SA
208,314,25946," SA(rs,nr)c                                                                                           "," SA(r_s,nl)c                                                                         ",SA,SA
209,316,25949, S0^- sp                                                                                            , S0^- sp / E(d)7                                                                                    ,S,S0
210,317,25956, (R')SAB(r_s)cd                                                            , SAB(s)d                                                                                              ,SAB,SAB
211,318,25987, SA(_rs)ab pec                                                                       , (R')SA(rs)a:                                                                               ,SA,SA
212,319,26101, (R')SA(s:)b                                                                                , (R')SA(rs)b sp                                                                             ,SA,SA
213,321,26256, S_AB(s)cd                                                                           , SAB(s)cd                                                                                             ,SAB,SAB
214,322,26465, (R')SA(rs)bc                                                                               , (R')SA(rs)b pec                                                                            ,SA,SA
215,323,26461, SA(s)bc sp                                                                                           , SA(r_s)bc                                                                           ,SA,SA
216,325,26543, SA(s)c                                                                                               , SA(rl)bc                                                                                             ,SA,SA
217,327,26634, (R_2')SAB(l)0/a                                                                            , (R')SAB(s)0/a                                                                              ,SAB,SAB
218,328,26650, (R'L)SA(s)bc pec                                                                           , (R'L)SA(s)bc pec                                                                           ,SA,SA
219,329,26690, S_AB_a(rs)b sp                                                                    , SA(rs)b sp                                                                                           ,"SAB_(x,a)",SA
220,330,26722, SAB(r_s)bc                                                                          , SAB(rs)b                                                                                             ,SAB,SAB
221,331,26766," (R')SA(_rs,_rs)b                                         "," (R')SA(rs,r)b                                                                              ",SA,SA
222,332,26785, SA(l)0^+ / E3                                                                                      , SA(l)0^+ / E(d)5                                                                                   ,SA,SA
223,333,26802, SA(s)c                                                                                               , SA(s)bc                                                                                              ,SA,SA
224,334,26787, SA(_rs)bc: sp                                                                       , SA(rs)b: sp                                                                                          ,SA,SA
225,335,26856, SA(s)c                                                                                               , SA(s)c                                                                                               ,SA,SA
226,336,26817," (R_1')SB(r,bl)b                                                                            "," (R_1')SB(_rs,bl)ab                                                        ",SB,SB
227,337,26867, SA(rs)b                                                                                              , SA(rs)b                                                                                              ,SA,SA
228,338,26876, (R')SAB(s)0/a                                                                              , (R')E4                                                                                     ,SAB,E
229,339,26970," (R_2')SAB_a(r'l,nl)bc                                                          "," (R_2')SA_B_a(s,nb)bc                                                    ","SAB_(x,a)","SAB_(x,a)"
230,340,26966, (R')SA(_rs)c                                                              , SA(rs)c                                                                                              ,SA,SA
231,341,26965, SA(s)a: pec                                                                                          , SAa pec                                                                                              ,SA,SA
232,342,26987, Sbc: sp pec / E(d)2-3                                                                                , Sa sp / E(b)2 pec                                                                                    ,S,S
233,343,26974, SB(s)dm                                                                                              , SB(rs)dm                                                                                             ,SB,SB
234,344,27016, SA(s)c                                                                                               , S_AB(s)cd                                                                           ,SA,SAB
235,345,26988, SA(s)c: sp                                                                                           , SAc sp                                                                                               ,SA,SA
236,346,27240, (R')SA(r)a                                                                                 , (R)SA(rl)a                                                                                           ,SA,SA
237,348,27128, (R'L)SAB(s)a:                                                                              , (R')SAB(s)0/a                                                                              ,SAB,SAB
238,349,27292, RG + Pec with jet-like features                                                                      , Pec (merger)                                                                                         ,OTHER,OTHER
239,350,27220, (R')S(s)bc sp                                                                              , SAB(s)b sp                                                                                           ,S,SAB
240,351,27259," (R,R')SB(r)ab pec                                                                          "," (R',R')SB(r)a pec                                                                ",SB,SB
241,352,27311, SBm sp / E6-7                                                                                        ," Im sp / E(b,d)6-7                                                                                    ",SB,I
242,353,27297, SAB(r_s)cd                                                                          , SB(rs)dm                                                                                             ,SAB,SB
243,354,27331, S_AB(s)m pec                                                                        , SAB(s)dm                                                                                             ,SAB,SAB
244,355,27361, SAB(s)dm                                                                                             , SB(s)dm                                                                                              ,SAB,SB
245,356,27447, SA(s)bc                                                                                              , SA(s)bc                                                                                              ,SA,SA
246,358,27600, E3                                                                                                   , E2                                                                                                   ,E,E
247,359,27619, (R')SA(l)a pec                                                                             , (R')SA(rs)a pec                                                                            ,SA,SA
248,360,27644, SAB_a(rs)cd pec                                                                                    , SA_B(rs)cd                                                                          ,"SAB_(x,a)",SAB
249,361,27666, (R')SA(rs)bc                                                                               , (R')SA(rs)bc                                                                               ,SA,SA
250,362,27727, (R')SAB(s:)bc sp                                                                           , SA(s)b                                                                                               ,SAB,SA
251,364,27719, (RL)SA0^+:                                                                                         , SA(rl)0^o sp                                                                                       ,SA,SA
252,365,27754," SAB(_rs,psb)b pec                                                                   ", SA_B(r)bc pec                                                                       ,SAB,SAB
253,366,27789," (R_1')SA_B_a(p,r'l)ab                                         "," (R_1')SA_B(p,r_s)ab                                      ","SAB_(x,a)",SAB
254,367,27893, SA(s)c                                                                                               , (R')SA(s)c                                                                                 ,SA,SA
255,368,27909, SA(r_s)c                                                                            , SA(rs)c                                                                                              ,SA,SA
256,370,28090, (R')SA(s)b pec                                                                             , SAB(s)b                                                                                              ,SA,SAB
257,372,28205," SB(r,tb)bc                                                                                           ", SB(_rs)bc                                                                           ,SB,SB
258,373,28329, SA(r_s)bc                                                                           , SA(s)bc                                                                                              ,SA,SA
259,374,28353, SA(s)bc                                                                                              , SAB(s)b                                                                                              ,SA,SAB
260,375,28333, (R'L)SAB(r)a                                                                               , (R')SAB(rl)a                                                                               ,SAB,SAB
261,376,28401, SA(s)c pec                                                                                           , S_AB(s)bc pec                                                                       ,SA,SAB
262,378,28391, E2-3                                                                                                 , E2                                                                                                   ,E,E
263,379,28409, SB(r_s)d                                                                            , SB(r_s)cd                                                                           ,SB,SB
264,380,28481, SA0^-                                                                                              , SA0^-:                                                                                             ,SA,SA
265,381,28525, SB(rs)0/a                                                                                            , SB(rs)0/a                                                                                            ,SB,SB
266,384,28658, SA(r_s)c pec                                                                        , SA(s)bc                                                                                              ,SA,SA
267,385,28672, SB(s)dm                                                                                              , SB(s)dm                                                                                              ,SB,SB
268,386,28777, SAB(rs)b                                                                                             , SAB(r_s)b                                                                           ,SAB,SAB
269,387,28774, E2                                                                                                   , E1                                                                                                   ,E,E
270,391,29111, SAB:(s)cd pec                                                                                        , SAB:(s)dm sp                                                                                         ,SAB,SAB
271,392,29147, (R')SAB(r)ab pec                                                                           , (R')SAB(rs)a                                                                               ,SAB,SAB
272,393,29177, S_AB(sl)0^o                                                                       , SAB(r'l)0^o                                                                              ,SAB,SAB
273,394,29169, (R_1')SAB(rl)b                                                                             , (R_1')SAB(l)ab                                                                             ,SAB,SAB
274,395,29191, (R')SA(r)ab                                                                                , (R')SA(s)ab                                                                                ,SA,SA
275,396,29220, E0-1                                                                                                 , E0-1                                                                                                 ,E,E
276,397,29209, SA(s)bc                                                                                              , SA(s)bc pec                                                                                          ,SA,SA
277,398,29419, SA(rs)c                                                                                              , S_AB(rs)c                                                                           ,SA,SAB
278,399,29453, SA(s)c pec                                                                                           , SA(s)c                                                                                               ,SA,SA
279,400,29484, SA(s)b sp                                                                                            , SAb spw                                                                                              ,SA,SA
280,401,29496, SAB(rs)bc                                                                                            , SA_B(rs)bc                                                                          ,SAB,SAB
281,402,29604, dE?                                                                                                  , dE3?                                                                                                 ,OTHER,OTHER
282,403,29791, SA(rs)bc pec                                                                                         , SA(s)bc                                                                                              ,SA,SA
283,404,29801, (R)SA_B(l)0^+                                                                     , (R_1)SB(rl)0/a                                                                                     ,SAB,SB
