"258","373","28329","4","9",,"SA","(s)","bc",,,
"259","374","28353","3.5","5:",,"S_AB","(s)","_bc",,,
"260","375","28333","1","9","(RPL)","SAB","(_rl)","a",,,
"261","376","28401","4.5","9",,"SA","(s)","b_c",,"pec",
"262","378","28391","-5","99",,,,"E2",,,
"263","379","28409","6.5","5",,"SB","(r_s)","c_d",,,
"264","380","28481","-3","99",,"SA",,"0^-:",,,
"265","381","28525","0","99",,"SB","(rs)","0/a",,,
"266","384","28658","4.5","9",,"SA","(s)","b_c",,"pec",
"267","385","28672","8","1",,"SB","(s)","dm",,,
"268","386","28777","3","9",,"SAB","(rs)","b",,,
"269","387","28774","-5","99",,,,"E1-2",,,
"270","391","29111","7","4:",,"SAB:","(s)","d","sp","pec",
"271","392","29147","1.5","8","(RP)","SAB","(_rs)","_ab",,"pec",
"272","393","29177","-2","99",,"SAB","(rpl:)","0^o",,,
"273","394","29169","2.5","8:","(R1P)","SAB","(r_l)","a_b",,,
"274","395","29191","2","8:","(RP)","SA","(rs)","ab",,,
"275","396","29220","-5","99",,,,"E0-1",,,
"276","397","29209","4","5",,"SA","(s)","bc",,"pec",
"277","398","29419","5","9",,"SA","(rs)","c",,,
"278","399","29453","5","6",,"SA","(s)","c",,"pec",
"279","400","29484","3","99",,"SA","(s:)","b","spw",,
"280","401","29496","4","6",,"SAB","(rs)","bc",,,
"281","402","29604","11","99",,,,"dE3?",,,
"282","403","29791","4","6:",,"SA","(r_s)","bc",,"pec",
"283","404","29801","-0.5","99","(R1)","SB","(r_l)","_0/a",,,
"284","405","29824","5","9",,"SAB","(s)","c",,,
"285","406","29847","3","6:",,"SA","(r_s)","b",,"pec",
"286","408","30306","5","5","(RP)","SA","(s)","c",,"pec",
"287","409","30341","6.5","5",,"SB","(rs)","c_d",,,
"288","410","30363","5","99",,"SAB","(s)","c",,"pec",
"289","411","30470","1","99",,"SAB","(_rs)","a:","sp",,
"290","412","30540","-5","99",,,,"E1",,,
"291","413","30523","-1.5","99","(RL)","SA_a","(l)","0^o+",,,
"292","414","30530","6","3:",,"SAB","(s)","cd",,"pec","(cc)"
"293","415","30596","-5","99",,,,"E3",,,
"294","416","30604","6.5","99",,"SA:",,"c_d","sp","pec",
"295","417","30701","2","6:",,"SA","(s)","ab:",,,
"296","418","30797","7","2",,"SA","(s)","d",,,
"297","419","30806","2.5","9",,"SAB","(rs)","a_b",,"pec",
"298","420","30898","-1","99",,"SB_xa",,"0^+","sp",,
"299","423","31059","4","8","(RP)","SA","(rs,r)","bc",,,
"300","424","31140","1","99","(RP)","SA","(r_s,nl)","a",,"pec",
"301","425","31234","-3","99",,"SAB",,"0^-",,,
"302","426","31431","-3","99",,"SA",,"0^-:",,,
"303","427","31499","1","99",,"SA","(rs)","a:",,"pec",
"304","429","31719","4.5","9",,"SA","(s)","b_c",,,
"305","430","31745","1","8","(RP)","SA","(r)","a:",,,
"306","431","31751","1.5","8","(R)","SAB_a","(_rpl,x_1r,nb)","_ab",,,
"307","432","31817","4","5","(RP)","SAB","(rs,rs)","bc",,"pec",
"308","433","32004","4.5","3",,"SA","(r_s)","b_c",,,
"309","437","32033","-5","99",,,,"E3",,,
"310","438","32022","7.5","99",,"SB","(r_s)","_dm",,"pec",
"311","439","32072","8","4:","(RP)","SB","(r_s)","dm",,"pec",
"312","440","32086","3.5","9",,"SA","(rs)","_bc",,,
"313","441","32109","5","3",,"SA","(s:)","c",,,
"314","443","32231","-3","99",,"SA","(s:)","0^-",,,"/ E6"
"315","444","32517","5","6:",,"SA","(s)","c",,"pec",
"316","445","32547","5","9",,"SA","(s)","c",,,
"317","446","32637","3","9:",,"SA","(s)","b",,,
"318","450","32804","9.5","4",,"S/IB","(s)","m",,,
"319","451","32897","4.5","4:",,"SA","(s)","b_c:",,,
"320","453","33041","5","3",,"SA","(s:)","c","sp",,
